comment_id,sentimiento,prob_NEG,prob_NEU,prob_POS
Ugw-J65a1iYL9hqhELh4AaABAg,NEG,0.8077868819236755,0.14628511667251587,0.04592809081077576
Ugw-ZT9t9wU2V-tCaUZ4AaABAg,NEG,0.9650870561599731,0.029080351814627647,0.005832502152770758
Ugw0xaOb2CYXXoudtwJ4AaABAg,NEG,0.9713771343231201,0.025966867804527283,0.002656027674674988
Ugw0xgUc2ISpBr5_T654AaABAg,NEG,0.701865017414093,0.2676483392715454,0.030486570671200752
Ugw1ZzA21njWhaqQQTh4AaABAg,NEG,0.8044654726982117,0.175604909658432,0.019929636269807816
Ugw1ZzA21njWhaqQQTh4AaABAg.Aa9Tf29tBouAaB_XZQglTL,NEU,0.3089752197265625,0.5396038293838501,0.15142089128494263
Ugw2014OIYf336oytFt4AaABAg,POS,0.021916158497333527,0.388818621635437,0.5892652273178101
Ugw2bSVOoNn2pc8ZcUl4AaABAg,NEG,0.5835477113723755,0.3766854405403137,0.03976686671376228
Ugw3gnUvLp6AqO0_odt4AaABAg,NEU,0.15794502198696136,0.6771429181098938,0.16491205990314484
Ugw4C1ijI36l6LAiSZh4AaABAg,NEG,0.5815944075584412,0.28984227776527405,0.1285632848739624
Ugw4St_YnT9_Ya5xSPt4AaABAg,NEG,0.9142568111419678,0.08024974912405014,0.005493377335369587
Ugw4ccnmIWJaE6VNRWN4AaABAg,POS,0.024983564391732216,0.07526616752147675,0.8997502326965332
Ugw5E402-fn52PLXFIJ4AaABAg,NEG,0.7196909189224243,0.2552506625652313,0.02505841664969921
Ugw5URsiAF9QVoniY-l4AaABAg,NEG,0.8866133689880371,0.1064339354634285,0.006952653173357248
Ugw5xMAuDaygo77ynI94AaABAg,NEG,0.9809203147888184,0.015993129462003708,0.0030865082517266273
Ugw6cfXYfV4H-asKlDR4AaABAg,NEG,0.97502201795578,0.021452881395816803,0.00352507084608078
Ugw74asIfir0_SVC6OB4AaABAg,NEU,0.2983648180961609,0.6854531168937683,0.016182078048586845
Ugw86zOgTwKzYotlT9l4AaABAg,NEG,0.9045087099075317,0.08896276354789734,0.006528518162667751
Ugw8iZ_G2Cwq-9ZYctt4AaABAg,NEG,0.9448848962783813,0.04358528554439545,0.011529791168868542
Ugw8pyxscJNUQpfoKuF4AaABAg,NEG,0.7940723299980164,0.19531500339508057,0.010612685233354568
Ugw9_Qw_QaSdggWuKJt4AaABAg,NEU,0.12265895307064056,0.8152621388435364,0.062078963965177536
Ugw9eye2GML6RHRSu-14AaABAg,NEG,0.9528023600578308,0.03727805241942406,0.009919611737132072
UgwA5aTmgACLCuTUT494AaABAg,POS,0.010685130953788757,0.13139770925045013,0.8579171895980835
UgwARHTnVAzzPrHbNox4AaABAg,POS,0.002945295535027981,0.02327595092356205,0.9737787246704102
UgwBIwUPLGxEWAu3Mh14AaABAg,NEG,0.8889141082763672,0.10762237757444382,0.0034634736366569996
UgwCW5PErySUmwse3bZ4AaABAg,NEU,0.46558713912963867,0.47274166345596313,0.06167116388678551
UgwCfRlzeiXz172UQQV4AaABAg,POS,0.0028262652922421694,0.03551188483834267,0.9616618156433105
UgwCw9bhAw6suYQfCWx4AaABAg,POS,0.030621524900197983,0.20220668613910675,0.7671718001365662
UgwEOUk-ofXNqkHW5Cx4AaABAg,NEG,0.9598259329795837,0.03720337897539139,0.0029706680215895176
UgwEQHx8Ik7SbxBTQ914AaABAg,NEU,0.35485899448394775,0.5239256024360657,0.12121541798114777
UgwEjfj5ueeimHg-Hbt4AaABAg,NEG,0.8794484734535217,0.10442864894866943,0.016122929751873016
UgwG3XiEgFlHKtrtTqd4AaABAg,NEG,0.9689444899559021,0.027760902419686317,0.003294600872322917
UgwGm1V-_GN1ZPcijdl4AaABAg,NEG,0.9338314533233643,0.06275980174541473,0.003408808493986726
UgwHY5LtTiQ0lBONp8N4AaABAg,NEG,0.949252188205719,0.04347235709428787,0.007275479380041361
